code,shares
6669,185840791
6670,139386973
6671,60750000
6672,81620212
6674,68550659
6679,54975335
6683,27557161
6684,44559496
6689,68000000
6690,29999720
6691,121487209
6692,58843890
6693,45720000
6695,106477650
6697,27323364
6698,66389753
6703,36257210
6706,78548865
6708,29008779
6712,101763861
6715,68274026
6716,30241814
6719,105516989
6720,30225741
6721,24500000
6722,88400000
6725,37130000
6727,26884177
6728,30120000
6730,36298151
6732,48912618
6733,134316026
6735,46182292
6739,23392500
6741,120577997
6742,71267948
6743,150000000
6751,22200000
6752,38258471
6753,117254081
6754,66000000
6756,69990000
6757,459530000
6761,34955867
6762,36930288
6763,184039130
6768,200095061
6770,4712080856
6771,31179500
6776,91581430
6781,85418780
6782,63000000
6785,66800000
6788,38739683
6789,318299119
6790,267129021
6791,20847000
6792,47875325
6794,63637000
6796,40233970
6799,43652193
6803,72794385
6804,47500000
6805,68553896
6807,54000000
6811,41449000
6821,35663193
6823,30533920
6829,59169000
6830,54413615
6831,67500000
6834,88471082
6835,66172297
6838,150977100
6840,30767284
6841,95223000
6843,33304000
6844,37428440
6846,27066039
6854,117678622
6855,23249716
6859,41588600
6861,41599250
6862,50000000
6863,74888000
6865,15840645
6869,137830041
6870,28329974
6872,70750511
6873,142649099
6874,22000000
6875,129182804
6877,46967122
6884,18390000
6885,133061000
6887,74205512
6890,250295804
6894,23800000
6895,34100000
6899,42398491
6901,853360000
6902,35529948
6903,66676000
6904,18500000
6906,33537400
6907,62525150
6908,37180000
6909,67212600
6910,30521000
6913,43848863
6914,66226000
6916,67500000
6918,34571000
6919,1557200860
6921,31836941
6922,27155385
6923,90439000
6924,20624000
6925,20000300
6928,86000000
6929,45090000
6931,66152160
6933,42442800
6934,36130304
6936,72804000
6937,67655263
6944,99694286
6945,97202160
6947,106126334
6949,1311601000
6951,52000000
6952,68345000
6953,30014600
6955,24800785
6957,55560314
6958,401289360
6961,26834000
6962,492396565
6965,156336000
6967,30404477
6968,50436279
6969,43857189
6971,38668000
6982,40752381
6983,18020000
6986,52134000
6988,47600000
6994,74162071
6996,41997833
6997,22100500
7402,35280646
7547,33963000
7556,29080869
7584,17055469
7610,58305456
7631,20142000
7642,30150000
7689,58507250
7703,34745000
7704,33769804
7705,66067304
7708,25500000
7709,39102740
7711,71700445
7712,32561873
7713,45478843
7714,21000000
7715,32756500
7716,22500000
7717,24831518
7718,46356484
7721,55370000
7722,71400000
7723,49619550
7728,13992621
7730,36796731
7732,64680000
7734,28000000
7736,76000000
7738,27355799
7740,60000000
7743,36483338
7744,32076710
7747,30168600
7749,46485728
7750,71843000
7751,26888600
7753,25000000
7757,24100000
7760,66048000
7765,40681000
7767,30100000
7768,70065000
7769,179930000
7770,30062053
7772,26498600
7777,202606250
7780,810024170
7782,23213000
7786,175953944
7788,79745993
7791,80000000
7792,46662000
7794,28000000
7795,78828500
7799,158245000
7803,94412888
7805,39750122
7810,20250000
7814,45000000
7818,167946000
7819,25263500
7820,37768096
7821,121913300
7822,45560763
7823,33490890
7827,139972262
7828,40493911
7835,46544367
7839,15096025
7842,18250000
7855,192527928
8011,165921891
8016,120136876
8021,145042467
8024,45160100
8027,112456770
8028,179491729
8032,51810300
8033,164629775
8034,56586353
8038,62278190
8039,263803994
8040,96413874
8042,131479954
8043,79907170
8044,204768065
8045,95041815
8046,646165487
8047,41666343
8048,59436924
8049,118279808
8050,205204891
8054,108732566
8059,194080500
8064,184817836
8067,20700000
8068,80765949
8069,1154678380
8070,725648455
8071,60084283
8072,80000000
8074,86974466
8076,292213592
8077,21945669
8080,67163821
8081,86172072
8083,35133193
8084,174754149
8085,139983060
8086,196516123
8087,38669142
8088,60921749
8089,65998718
8091,55986224
8092,57172325
8093,56567567
8096,149343066
8097,63802468
8099,100072800
8101,52166216
8102,23358350
8103,78436671
8104,104058192
8105,441544851
8107,75000000
8109,82161236
8110,517739876
8111,109102223
8112,565293058
8114,76487772
8121,212993743
8131,442222223
8147,41817166
8150,704523126
8155,62367700
8162,68702000
8163,280000001
8171,112853326
8176,71701000
8182,107041215
8183,121251068
8201,62366275
8210,125319146
8213,271242488
8215,320674514
8222,68573500
8227,39543000
8234,141226472
8240,100004414
8249,137824500
8255,101939480
8261,118878393
8271,129614266
8272,18997755
8277,91628833
8279,27100851
8284,47342000
8289,68333765
8291,17478450
8299,221165247
8341,130000000
8342,33536692
8349,208821391
8354,78532263
8358,252588000
8367,92172031
8374,112250487
8383,113760482
8390,96116128
8401,70669058
8403,137640343
8404,419933884
8409,32000000
8410,36589200
8411,218404319
8415,1031500000
8416,28210710
8421,63817140
8422,1358762544
8423,41714030
8424,36054368
8426,50242500
8429,185747151
8431,48778331
8432,38398140
8433,54506098
8435,35200450
8436,117728830
8437,47014070
8438,69943000
8440,50255299
8442,70169764
8443,66800000
8444,125104845
8446,52914405
8450,51309947
8454,264975275
8455,25219056
8462,80386616
8463,150000000
8464,293020200
8466,79445628
8467,48373575
8472,17735800
8473,182306922
8476,166226358
8477,64170616
8478,93972276
8481,66601866
8482,107444000
8487,26535000
8488,73500000
8489,59948960
8499,41165557
8905,119440000
8906,44037370
8908,315332742
8916,150384146
8924,83800000
8926,830282000
8927,419068367
8928,50854015
8929,50580862
8930,81809406
8931,122254862
8932,426013152
8933,326724305
8935,113495000
8936,248078157
8937,431680272
8938,156986490
8940,67491032
8941,34972071
8942,198842255
8996,93501537
9103,549411240
9105,10450002831
9110,907680000
9136,1200008445
9802,200991673
9902,98049600
9904,2946787213
9905,305000000
9906,90376358
9907,1579145342
9908,516358000
9910,987482831
9911,222332287
9912,53792569
9914,298983800
9917,451197093
9918,180537453
9919,195362750
9921,392065395
9924,150761736
9925,387489605
9926,179504075
9927,120000000
9928,70724583
9929,101280000
9930,248540368
9931,120369303
9933,944437034
9934,411016962
9935,177838926
