date,code,market,prev_close,ref_price,kind,ratio
2023-03-16,01009T,上市,8.64,8.48,息,0.9814814814814815
2023-03-16,1259,上櫃,77.8,75.2,除息,0.9665809768637533
2023-03-16,1342,上市,153.5,148.13,息,0.9650162866449511
2023-03-16,1712,上市,40.45,37.65,息,0.9307787391841779
2023-03-16,2301,上市,74.1,71.1,息,0.9595141700404858
2023-03-16,2330,上市,511.0,508.25,息,0.9946183953033269
2023-03-16,3008,上市,2315.0,2269.0,息,0.9801295896328294
2023-03-16,5283,上市,112.0,108.0,息,0.9642857142857143
2023-03-16,6661,上櫃,22.5,22.32,除息,0.992
2023-03-16,9802,上市,130.0,128.8,息,0.9907692307692308
2023-03-17,00713,上市,39.3,38.62,息,0.9826972010178117
2023-03-17,00853B,上櫃,29.11,28.76,除息,0.9879766403297836
2023-03-17,3029,上市,54.5,50.9,息,0.9339449541284404
2023-03-17,9105,上市,4.01,3.69,權息,0.9201995012468829
2023-03-20,00831B,上櫃,37.5,37.35,除息,0.996
2023-03-21,00710B,上市,17.73,17.47,息,0.985335589396503
2023-03-21,00711B,上市,16.07,15.88,息,0.9881767268201618
2023-03-21,00712,上市,9.92,9.68,息,0.9758064516129032
2023-03-23,1313,上市,14.55,14.35,息,0.986254295532646
2023-03-23,2630,上市,19.5,19.14,息,0.9815384615384616
2023-03-23,2947,上櫃,92.0,91.0,除息,0.9891304347826086
2023-03-23,3004,上市,86.7,85.68,息,0.9882352941176471
2023-03-23,4972,上櫃,30.55,28.93,除息,0.9469721767594108
2023-03-23,6590,上櫃,80.0,76.2,除息,0.9525
2023-03-24,2430,上市,49.15,45.15,息,0.9186164801627671
2023-03-24,4583,上市,219.5,209.5,息,0.9544419134396356
2023-03-24,4770,上市,306.0,294.0,息,0.9607843137254902
2023-03-24,5225,上市,42.8,39.75,息,0.9287383177570094
2023-03-24,6235,上市,68.7,68.0,息,0.9898107714701601
2023-03-24,6415,上市,512.0,507.5,息,0.9912109375
2023-03-24,8908,上櫃,72.9,72.1,除息,0.989026063100137
2023-03-27,01004T,上市,14.65,14.44,息,0.9856655290102389
2023-03-27,6541,上市,94.1,91.81,權,0.9756641870350692
2023-03-28,5007,上市,53.9,50.9,息,0.9443413729128015
2023-03-28,6523,上櫃,109.0,107.0,除息,0.981651376146789
2023-03-29,1717,上市,32.45,31.25,息,0.9630200308166409
2023-03-29,2063,上櫃,44.7,43.2,除息,0.9664429530201343
2023-03-29,3005,上市,55.6,51.81,息,0.9318345323741007
2023-03-29,3706,上市,28.5,27.2,息,0.9543859649122807
2023-03-29,4420,上櫃,30.55,28.55,除息,0.9345335515548282
2023-03-29,6412,上市,83.0,77.1,息,0.9289156626506023
2023-03-29,6697,上櫃,42.3,40.7,除息,0.9621749408983453
2023-03-29,8401,上櫃,24.25,22.25,除息,0.9175257731958762
2023-03-29,8938,上櫃,107.0,98.03,除息,0.9161682242990654
2023-03-30,1477,上市,235.5,221.0,息,0.9384288747346072
2023-03-30,2006,上市,60.6,57.1,息,0.9422442244224423
2023-03-30,2015,上市,72.5,68.5,息,0.9448275862068966
2023-03-30,2108,上市,41.8,39.8,息,0.9521531100478469
2023-03-30,2331,上市,23.3,22.5,息,0.9656652360515021
2023-03-30,2458,上市,102.5,99.43,息,0.970048780487805
2023-03-30,2483,上市,26.25,25.25,息,0.9619047619047619
2023-03-30,2530,上市,18.35,17.93,息,0.9771117166212533
2023-03-30,2641,上櫃,20.8,19.3,除息,0.9278846153846154
2023-03-30,2732,上櫃,180.5,176.22,除息,0.9762880886426593
2023-03-30,2752,上櫃,268.5,258.5,除息,0.962756052141527
2023-03-30,2756,上櫃,149.0,146.5,除息,0.9832214765100671
2023-03-30,4105,上櫃,79.7,76.3,除息,0.9573400250941028
2023-03-30,4930,上市,29.1,27.1,息,0.9312714776632303
2023-03-30,5222,上市,187.5,184.5,息,0.984
2023-03-30,6270,上櫃,25.35,23.25,除息,0.9171597633136094
2023-03-30,6281,上市,87.8,82.8,息,0.9430523917995444
2023-03-30,6581,上市,100.5,94.0,息,0.9353233830845771
2023-03-30,6612,上櫃,126.0,125.0,除息,0.9920634920634921
2023-03-30,6752,上櫃,133.0,130.4,除息,0.9804511278195489
2023-03-30,8420,上櫃,92.7,86.73,除息,0.9355987055016182
